Intitulé formation,Partie,Intitulé partie,Objectif d'apprentissage,Intitulé objectif d'apprentissage,Type objectif d'apprentissage
Formation pour faire du vélo,1,Introduction,1,Exemple objectif d'apprentissage 1 ,Théorie
Formation pour faire du vélo,1,Introduction,2,Exemple objectif d'apprentissage 2,Théorie
Formation pour faire du vélo,1,Introduction,3,Exemple objectif d'apprentissage 3,Théorie
Formation pour faire du vélo,2,Apprendre,1,Exemple objectif d'apprentissage 4,Théorie
Formation pour faire du vélo,2,Apprendre,2,Exemple objectif d'apprentissage 5,Théorie
Formation pour faire du vélo,2,Apprendre,3,Exemple objectif d'apprentissage 6,Théorie
Formation pour faire du vélo,2,Apprendre,4,Exemple objectif d'apprentissage 7,Théorie
Formation pour faire du vélo,2,Apprendre,5,Exemple objectif d'apprentissage 8,Théorie
Formation pour faire du vélo,3,Sans les mains,1,Exemple objectif d'apprentissage 9,Atelier
Formation pour faire du vélo,3,Sans les mains,2,Exemple objectif d'apprentissage 10,Théorie
Formation pour faire du vélo,4,Perséverer,1,Exemple objectif d'apprentissage 11,Théorie
Formation pour faire du vélo,4,Perséverer,2,Exemple objectif d'apprentissage 12,Théorie
Formation pour faire du vélo,4,Perséverer,3,Exemple objectif d'apprentissage 13,Théorie
Formation pour faire du vélo,5,Encore ,1,Exemple objectif d'apprentissage 14,Théorie
Formation pour faire du vélo,5,Encore ,2,Exemple objectif d'apprentissage 15,Théorie
Formation pour faire du vélo,5,Encore ,3,Exemple objectif d'apprentissage 16,Théorie
Formation pour faire du vélo,5,Encore ,4,Exemple objectif d'apprentissage 17,Théorie
Formation pour faire du vélo,6,Plus,1,Exemple objectif d'apprentissage 18,Théorie
Formation pour faire du vélo,7,Changer une roue,1,Exemple objectif d'apprentissage 19,Atelier
Formation pour faire du vélo,8,Nettoyez son vélo,1,Exemple objectif d'apprentissage 20,Atelier